source_file,account,asset,entry_time,entry_price,position_size,exit_time,exit_price,Close volume,Price PnL,profit_ticks,PnL,Comment,exchange,direction,order_id_entry,order_id_exit,comment,commission,PnL_net,duration_minutes,notes,emotion,situation,equity
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 09:49:18.937,5954.0,2.0,2025-05-20 09:50:45.788,5952.5,-2.0,-1.5,-6.0,-150.0,,CME,Buy,1430515.0,1424613.0,,0.0,-150.0,1.4475166666666666,,,,450.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 09:50:52.435,5953.0,2.0,2025-05-20 09:51:07.366,5951.5,-2.0,-1.5,-6.0,-150.0,,CME,Buy,1428781.0,1428063.0,,0.0,-150.0,0.24885,,,,300.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 10:05:53.495,5962.75,2.0,2025-05-20 10:06:41.267,5962.75,-2.0,0.0,0.0,0.0,,CME,Buy,1451146.0,1451649.0,,0.0,0.0,0.7962,,,,300.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 10:56:54.272,5966.0,2.0,2025-05-20 10:57:26.053,5964.75,-2.0,-1.25,-5.0,-125.0,,CME,Buy,1508187.0,1507459.0,,0.0,-125.0,0.5296833333333333,,,,175.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 10:57:31.905,5965.5,1.0,2025-05-20 10:57:45.694,5961.5,-1.0,-4.0,-16.0,-200.0,,CME,Buy,1505491.0,1506940.0,,0.0,-200.0,0.22981666666666667,,,,-25.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 10:57:47.793,5962.5,1.0,2025-05-20 10:58:34.405,5961.0,-1.0,-1.5,-6.0,-75.0,,CME,Buy,1506626.0,1508362.0,,0.0,-75.0,0.7768666666666667,,,,-100.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 10:59:18.351,5962.25,1.0,2025-05-20 10:59:46.610,5960.5,-1.0,-1.75,-7.0,-87.5,,CME,Buy,1511822.0,1510245.0,,0.0,-87.5,0.47098333333333336,,,,-187.5
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 11:03:49.799,5961.75,-1.0,2025-05-20 11:05:09.816,5961.5,1.0,0.25,1.0,12.5,,CME,Sell,1517928.0,1516043.0,,0.0,12.5,1.3336166666666667,,,,-175.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 11:11:50.840,5963.5,-1.0,2025-05-20 11:13:13.681,5963.5,1.0,0.0,0.0,0.0,,CME,Sell,1521784.0,1522420.0,,0.0,0.0,1.3806833333333333,,,,-175.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 11:14:20.864,5963.5,-1.0,2025-05-20 11:14:50.413,5963.5,1.0,0.0,0.0,0.0,,CME,Sell,1523927.0,1523802.0,,0.0,0.0,0.49248333333333333,,,,-175.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:08:14.777,5958.25,1.0,2025-05-20 12:09:03.055,5956.75,-1.0,-1.5,-6.0,-75.0,,CME,Buy,1557390.0,1555549.0,,0.0,-75.0,0.8046333333333333,,,,-250.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:09:33.084,5957.0,1.0,2025-05-20 12:10:33.906,5955.5,-1.0,-1.5,-6.0,-75.0,,CME,Buy,1557105.0,1558422.0,,0.0,-75.0,1.0137,,,,-325.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:10:44.942,5955.0,1.0,2025-05-20 12:11:10.932,5953.5,-1.0,-1.5,-6.0,-75.0,,CME,Buy,1562391.0,1555419.0,,0.0,-75.0,0.43316666666666664,,,,-400.0
ATAS_statistics_20052025_20052025.xlsx,APEX-298755-08,ESM5@CME,2025-05-20 12:11:13.375,5953.5,1.0,2025-05-20 12:25:05.559,5953.5,-1.0,0.0,0.0,0.0,,CME,Buy,1557831.0,1556961.0,,0.0,0.0,13.869733333333333,,,,-400.0
