trade_id,entry_time,exit_time,asset,entry_price,exit_price,position_size,PnL,PnL_net,commission,account,exchange,direction,order_id_entry,order_id_exit,source_file,duration_minutes,equity,components,n_components,is_fragmented
1,2025-06-16 09:32:54.000,2025-06-16 09:49:16.000,MESM5@CME,6022.0,6033.5,3,-172.5,-172.5,0,APEX-298755-19,CME,Sell,1053256,1071398,ATAS_statistics_16062025_17062025.xlsx,16.366666666666667,246.5,[1],1,False
2,2025-06-17 09:42:40.222,2025-06-17 09:52:31.223,MESU5@CME,6061.25,6072.0,1,-53.75,-53.75,0,APEX-298755-19,CME,Sell,1325595,1338994,ATAS_statistics_16062025_17062025.xlsx,9.850016666666667,192.75,[2],1,False
3,2025-06-17 09:57:28.706,2025-06-17 10:13:14.672,MNQU5@CME,22088.25,22118.25,2,120.0,120.0,0,APEX-298755-19,CME,Buy,1345448,1363236,ATAS_statistics_16062025_17062025.xlsx,15.7661,312.75,[3],1,False
4,2025-06-17 09:57:28.706,2025-06-17 10:13:14.672,MNQU5@CME,22088.5,22118.25,1,59.5,59.5,0,APEX-298755-19,CME,Buy,1345449,1363236,ATAS_statistics_16062025_17062025.xlsx,15.7661,372.25,[4],1,False
5,2025-06-17 13:00:50.167,2025-06-17 13:04:31.135,MNQU5@CME,22019.5,22048.5,1,58.0,58.0,0,APEX-298755-19,CME,Buy,1455248,1454760,ATAS_statistics_16062025_17062025.xlsx,3.6828,430.25,[5],1,False
6,2025-06-17 13:00:50.167,2025-06-17 13:04:31.139,MNQU5@CME,22019.5,22048.5,1,58.0,58.0,0,APEX-298755-19,CME,Buy,1455248,1454761,ATAS_statistics_16062025_17062025.xlsx,3.682866666666667,488.25,[6],1,False
7,2025-06-17 12:59:07.330,2025-06-17 13:09:04.224,MESU5@CME,6057.25,6061.0,1,18.75,18.75,0,APEX-298755-19,CME,Buy,1452706,1458939,ATAS_statistics_16062025_17062025.xlsx,9.948233333333333,507.0,[7],1,False
8,2025-06-17 12:59:07.330,2025-06-17 13:10:09.625,MESU5@CME,6057.25,6061.75,1,22.5,22.5,0,APEX-298755-19,CME,Buy,1452706,1459400,ATAS_statistics_16062025_17062025.xlsx,11.03825,529.5,[8],1,False
9,2025-06-17 13:00:50.182,2025-06-17 13:11:01.884,MNQU5@CME,22019.5,22048.25,1,57.5,57.5,0,APEX-298755-19,CME,Buy,1455278,1456715,ATAS_statistics_16062025_17062025.xlsx,10.195033333333333,587.0,[9],1,False
10,2025-06-17 12:59:07.330,2025-06-17 13:11:05.335,MESU5@CME,6057.25,6061.75,1,22.5,22.5,0,APEX-298755-19,CME,Buy,1452706,1456601,ATAS_statistics_16062025_17062025.xlsx,11.96675,609.5,[10],1,False
11,2025-06-09 12:50:30.000,2025-06-09 12:51:00.000,MNQM5@CME,21860.25,21867.75,4,-60.0,-60.0,0,APEX-298755-19,CME,Sell,1232061,1235556,ATAS_statistics_08062025_30062025.xlsx,0.5,280.0,[11],1,False
12,2025-06-09 12:53:19.000,2025-06-09 12:56:48.000,MNQM5@CME,21878.75,21868.75,1,20.0,20.0,0,APEX-298755-19,CME,Sell,1232945,1232668,ATAS_statistics_08062025_30062025.xlsx,3.4833333333333334,300.0,[12],1,False
13,2025-06-09 13:09:33.000,2025-06-09 13:32:58.000,MESM5@CME,6023.75,6023.0,1,3.75,3.75,0,APEX-298755-19,CME,Sell,1237513,1250737,ATAS_statistics_08062025_30062025.xlsx,23.416666666666668,303.75,[13],1,False
14,2025-06-09 13:48:15.000,2025-06-09 14:05:04.000,MNQM5@CME,21874.75,21859.75,1,30.0,30.0,0,APEX-298755-19,CME,Sell,1256749,1261461,ATAS_statistics_08062025_30062025.xlsx,16.816666666666666,333.75,[14],1,False
15,2025-06-09 13:44:35.000,2025-06-09 14:56:25.000,MESM5@CME,6025.25,6025.0,1,1.25,1.25,0,APEX-298755-19,CME,Sell,1256499,1284448,ATAS_statistics_08062025_30062025.xlsx,71.83333333333333,335.0,[15],1,False
16,2025-06-09 14:57:27.000,2025-06-09 15:01:09.000,MNQM5@CME,21874.5,21874.5,1,0.0,0.0,0,APEX-298755-19,CME,Sell,1281370,1281022,ATAS_statistics_08062025_30062025.xlsx,3.7,335.0,[16],1,False
17,2025-06-09 15:05:32.000,2025-06-09 15:09:56.000,MNQM5@CME,21867.75,21866.25,1,3.0,3.0,0,APEX-298755-19,CME,Sell,1281702,1286353,ATAS_statistics_08062025_30062025.xlsx,4.4,338.0,[17],1,False
18,2025-06-10 09:34:49.000,2025-06-10 09:37:01.000,MNQM5@CME,21821.75,21845.5,1,47.5,47.5,0,APEX-298755-19,CME,Buy,1384268,1383719,ATAS_statistics_08062025_30062025.xlsx,2.2,385.5,[18],1,False
